PLANT_NAME,ZONE,FUEL_TYPE,BUS,PMAX,PMIN,COST
Dan E Karn,MIS_LMI,NG,0,692.5,0,0
Dan E Karn,MIS_LMI,NG,0,709.8,0,0
Five Channels,MIS_LMI,WAT,0,3.0,0,0
Five Channels,MIS_LMI,WAT,0,3.0,0,0
Foote,MIS_LMI,WAT,0,3.0,0,0
Foote,MIS_LMI,WAT,0,3.0,0,0
Foote,MIS_LMI,WAT,0,3.0,0,0
Hardy,MIS_LMI,WAT,0,10.0,0,0
Hardy,MIS_LMI,WAT,0,10.0,0,0
Hardy,MIS_LMI,WAT,0,11.5,0,0
Hodenpyl,MIS_LMI,WAT,0,8.5,0,0
Hodenpyl,MIS_LMI,WAT,0,8.5,0,0
Loud,MIS_LMI,WAT,0,2.0,0,0
Loud,MIS_LMI,WAT,0,2.0,0,0
Ludington,MIS_LMI,WAT,0,329.8,0,0
Ludington,MIS_LMI,WAT,0,329.8,0,0
Ludington,MIS_LMI,WAT,0,329.8,0,0
Ludington,MIS_LMI,WAT,0,329.8,0,0
Ludington,MIS_LMI,WAT,0,329.8,0,0
Ludington,MIS_LMI,WAT,0,329.8,0,0
Mio,MIS_LMI,WAT,0,2.5,0,0
Mio,MIS_LMI,WAT,0,2.5,0,0
Palisades,MIS_LMI,NUC,0,811.8,0,0
Rogers,MIS_LMI,WAT,0,1.7,0,0
Rogers,MIS_LMI,WAT,0,1.7,0,0
Rogers,MIS_LMI,WAT,0,1.7,0,0
Rogers,MIS_LMI,WAT,0,1.7,0,0
Webber,MIS_LMI,WAT,0,3.3,0,0
Webber,MIS_LMI,WAT,0,1.0,0,0
Colfax,MIS_LMI,DFO,0,2.7,0,0
Colfax,MIS_LMI,DFO,0,2.7,0,0
Colfax,MIS_LMI,DFO,0,2.7,0,0
Colfax,MIS_LMI,DFO,0,2.7,0,0
Colfax,MIS_LMI,DFO,0,2.7,0,0
Delray,MIS_LMI,NG,0,71.1,0,0
Delray,MIS_LMI,NG,0,71.1,0,0
Fermi,MIS_LMI,NUC,0,1217.0,0,0
Fermi,MIS_LMI,DFO,0,16.0,0,0
Fermi,MIS_LMI,DFO,0,16.0,0,0
Fermi,MIS_LMI,DFO,0,16.0,0,0
Fermi,MIS_LMI,DFO,0,16.0,0,0
Hancock,MIS_LMI,NG,0,19.0,0,0
Hancock,MIS_LMI,NG,0,19.0,0,0
Hancock,MIS_LMI,NG,0,41.8,0,0
Hancock,MIS_LMI,NG,0,41.8,0,0
Monroe (MI),MIS_LMI,SUB,0,817.2,0,0
Monroe (MI),MIS_LMI,SUB,0,822.6,0,0
Monroe (MI),MIS_LMI,DFO,0,2.7,0,0
