GEN_ID,PLANT_NAME,PLANT_TYPE,FUEL_TYPE,ZONE,BUS,PG,PMAX,PMIN,COST
62658_G_P003,Cuyahoga Falls 1,Combustion Turbine,Distillate Fuel Oil,PJM_ATSI,0,0,1.5,0,21.5
62658_G_P004,Cuyahoga Falls 1,Combustion Turbine,Distillate Fuel Oil,PJM_ATSI,0,0,1.5,0,21.5
62658_G_P005,Cuyahoga Falls 1,Combustion Turbine,Distillate Fuel Oil,PJM_ATSI,0,0,1.5,0,21.5
62658_G_P006,Cuyahoga Falls 1,Combustion Turbine,Distillate Fuel Oil,PJM_ATSI,0,0,1.5,0,21.5
62670_G_HIGHL,Hecate Energy Highland LLC,Solar PV,Solar,PJM_West,0,0,300.0,0,0.0
62675_G_SKIPJ,Skipjack Solar Center,Solar PV,Solar,PJM_Dom,0,0,175.0,0,0.0
62680_G_GARFE,Garfield Solar,Solar PV,Solar,PJM_EMAC,0,0,0.4,0,0.0
62680_G_GARFN,Garfield Solar,Solar PV,Solar,PJM_EMAC,0,0,0.8,0,0.0
62680_G_GARFS,Garfield Solar,Solar PV,Solar,PJM_EMAC,0,0,1.4,0,0.0
62680_G_GARMS,Garfield Solar,Solar PV,Solar,PJM_EMAC,0,0,1.6,0,0.0
62686_G_PABOE,"TPE Pennsylvania Solar 1, LLC",Solar PV,Solar,PJM_EMAC,0,0,3.6,0,0.0
62691_G_PGR05,Shiloh Hwy Solar,Solar PV,Solar,PJM_Dom,0,0,5.0,0,0.0
62692_G_PGR04,Sandy Solar,Solar PV,Solar,PJM_Dom,0,0,5.0,0,0.0
62693_G_PGR03,Chowan Jehu Solar,Solar PV,Solar,PJM_Dom,0,0,5.0,0,0.0
62710_G_SO435,Nationals,Solar PV,Solar,PJM_SMAC,0,0,1.0,0,0.0
62712_G_BCF,Burlington Coat Factory Solar,Solar PV,Solar,PJM_EMAC,0,0,2.6,0,0.0
62713_G_DSM,DSM Nutritional Products Solar,Solar PV,Solar,PJM_EMAC,0,0,10.0,0,0.0
62720_G_5540,"Chester Woods Point Solar, LLC CSG",Solar PV,Solar,PJM_EMAC,0,0,2.0,0,0.0
62730_G_1,Desper Solar,Solar PV,Solar,PJM_Dom,0,0,88.2,0,0.0
62739_G_ARDAH,KDC Solar ASGM,Solar PV,Solar,PJM_EMAC,0,0,3.8,0,0.0
62746_G_CSCP,KDC Solar CSCP LLC,Solar PV,Solar,PJM_EMAC,0,0,3.4,0,0.0
62747_G_1,Matilda Hamilton Fee Hydroelectric Station,Hydro,Hydro,PJM_West,0,0,0.5,0,0.0
62747_G_2,Matilda Hamilton Fee Hydroelectric Station,Hydro,Hydro,PJM_West,0,0,0.5,0,0.0
62747_G_3,Matilda Hamilton Fee Hydroelectric Station,Hydro,Hydro,PJM_West,0,0,0.5,0,0.0
62747_G_4,Matilda Hamilton Fee Hydroelectric Station,Hydro,Hydro,PJM_West,0,0,0.5,0,0.0
62747_G_5,Matilda Hamilton Fee Hydroelectric Station,Hydro,Hydro,PJM_West,0,0,0.5,0,0.0
62752_G_L1,LafargeHolcim - Paulding Wind Project,Onshore Wind,Wind,PJM_West,0,0,1.5,0,0.0
62752_G_L2,LafargeHolcim - Paulding Wind Project,Onshore Wind,Wind,PJM_West,0,0,1.5,0,0.0
62752_G_L3,LafargeHolcim - Paulding Wind Project,Onshore Wind,Wind,PJM_West,0,0,1.5,0,0.0
62758_G_MEHER,Meherrin Solar,Solar PV,Solar,PJM_Dom,0,0,59.6,0,0.0
62767_G_SGASC,Gas City Solar Park,Solar PV,Solar,PJM_West,0,0,2.5,0,0.0
62768_G_PCSOL,Piney Creek Solar,Solar PV,Solar,PJM_Dom,0,0,80.0,0,0.0
62769_G_SCOLU,Columbia City Solar Park,Solar PV,Solar,PJM_West,0,0,4.3,0,0.0
62770_G_SRIC3,Richmond Solar Park 3,Solar PV,Solar,PJM_West,0,0,6.5,0,0.0
62780_G_100,"Rappahannock Solar, LLC",Solar PV,Solar,PJM_Dom,0,0,1.5,0,0.0
62791_G_SRIC4,Richmond Solar Park 4,Solar PV,Solar,PJM_West,0,0,7.1,0,0.0
62792_G_AMPPM,DG AMP Solar Piqua Manier,Solar PV,Solar,PJM_West,0,0,12.6,0,0.0
62794_G_SCENT,Centerville Solar Park,Solar PV,Solar,PJM_West,0,0,1.1,0,0.0
62813_G_GRHS,Grasshopper Solar,Solar PV,Solar,PJM_Dom,0,0,80.0,0,0.0
62814_G_SADL,Sadler Solar,Solar PV,Solar,PJM_Dom,0,0,100.0,0,0.0
62856_G_MBSS,Marengo Battery Storage LLC,Energy Storage,Energy Storage,PJM_COMD,0,0,20.0,0,0.0
62876_G_DCA1,Amazon Maryland DCA1,Solar PV,Solar,PJM_SMAC,0,0,1.3,0,0.0
