Time,Month,Day,Hour,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West
6231,9,260,16,6781.89947790609,10117.698920342,12797.1499776027,14582.8872619615,20318.2015627439,2344.35645828007,9021.00617609099,6803.92818876856,29078.3833714918
6232,9,260,17,6635.79520891428,9888.11144444808,12257.3639036602,14389.1509599821,20357.0153320581,2327.52228833372,9031.72076423158,6776.65133083427,28408.5530040189
6233,9,260,18,6371.04759166717,9395.21082795277,12233.4559417977,14017.7863839584,19808.9593091569,2226.88881826548,8843.88201924061,6550.80619454232,27039.0806883011
6234,9,260,19,6027.53386379556,8648.16152437213,11829.632472168,13535.6169226689,18904.0766513077,2103.79024794109,8427.29560608577,6229.31169839105,25259.8881475764
6235,9,260,20,5678.46232872419,7893.54977083833,11338.9251900844,12958.039403426,17800.6135125661,1968.98657282709,7911.6563031731,5878.8587645359,23343.5906728639
6236,9,260,21,5388.43736748889,7369.61415015921,10560.4280298867,12458.6979375964,16555.6457387213,1851.26357076462,7330.34717839991,5564.69731503231,21460.6577014633
6237,9,260,22,5126.27600468356,6871.87834134481,9669.20412543595,12041.8546851702,15516.3907954108,1765.94227432781,6862.18585335252,5341.44501991698,20065.7073766144
6238,9,260,23,4944.77283297871,6632.85431295164,9077.30582225912,11760.6030796974,14964.3792552387,1704.79920787607,6542.16629445887,5195.68364018991,19050.2752428873
6239,9,260,24,4830.98426434435,6427.18233811173,8692.60556515857,11586.2121001792,14579.6226063106,1676.19116867009,6314.79760585098,5111.24509647526,18336.0578751519
6240,9,261,1,4702.60417605138,6338.71622648447,8385.5894266048,11499.6216736095,14291.9292976739,1664.28637920187,6217.55218107435,5061.0213648881,18070.2377056803
6241,9,261,2,4734.36914962838,6355.50689790288,8200.68579445451,11543.0080285713,14358.8436278557,1669.95895848032,6224.99852372001,5163.25419440644,18130.7615742864
6242,9,261,3,4807.58066814694,6485.68783100472,8135.11305133878,11680.2681366303,14692.4077500275,1712.89049898226,6385.83053946104,5341.0048974219,18581.4715064483
6243,9,261,4,4860.87163449588,6644.85494946392,8329.48891201225,11875.7107271799,14984.9683497742,1751.54315546952,6605.17487190994,5504.50452976267,19051.7455531141
6244,9,261,5,5008.30221481255,6843.03152171257,8544.9709054303,12313.2671190871,15630.4356778142,1824.48185431105,7010.12138510185,5787.69303440429,19736.1659321971
6245,9,261,6,5172.13521884183,6973.54787794893,8689.34621969434,12782.2251938433,16181.8098077645,1861.59987017019,7396.89170558856,5969.16239683378,20448.6961823296
6246,9,261,7,5267.70007438515,7100.42312846465,9165.80873819893,13185.578129518,16514.5946142357,1884.66631810951,7724.3348614146,6045.93782953049,21201.5361269594
6247,9,261,8,5333.76477702599,7153.36322372366,9477.70687512868,13527.8535130621,16753.2826434303,1897.24080000325,7847.25468718595,6028.62989290873,21484.9811559063
6248,9,261,9,5391.35924921568,7165.71770346286,9716.89600052577,13866.3719579113,17134.1405840229,1860.47766133591,7914.22774144818,5961.85041102632,21593.9657629026
6249,9,261,10,5356.29659533448,7133.60120434568,9811.24072432848,14099.7987991366,17310.9418101985,1860.70208702251,7868.94895115789,5874.39660838485,21681.5367517655
6250,9,261,11,5357.43719537655,7039.07342395278,9834.42542524304,14250.415378312,17389.5680437642,1824.9271952962,7932.56482314305,5739.96639284372,21525.6319986912
